年,月,日,平均気温(℃),最高気温(℃),最低気温(℃),天気概況(昼),天気概況(夜)
1997,4,27,18.1,23.2,11.3,晴,曇
1997,4,28,16.3,18.9,14.3,曇後雨,雨後晴
1997,4,29,19.2,25.2,13.2,晴,晴
1997,4,30,21.1,27.2,16.1,晴後時々雨,曇時々雨
1997,5,1,18.7,21.7,15.8,晴,晴
1997,5,2,20.6,25.8,15.2,晴後曇,曇
1997,5,3,18.4,21.3,14.5,曇後時々雨,雨時々曇
1997,5,4,16.1,20.0,12.2,曇一時雨後晴,晴後曇
1997,5,5,20.8,27.1,16.7,曇後晴,晴時々曇
1997,5,6,22.5,27.5,16.5,曇時々晴,薄曇
1997,5,7,21.7,25.1,18.7,晴後曇,曇一時雨
1997,5,8,23.2,27.4,19.0,曇後一時雨、大風を伴う,雨時々曇
1997,5,9,15.5,21.1,13.5,曇時々雨後一時晴,快晴
1997,5,10,17.4,21.9,11.3,晴,晴後薄曇
1997,5,11,20.3,24.7,17.4,晴,晴
1997,5,12,19.4,24.1,15.1,晴,晴後曇
1997,5,13,18.3,22.1,13.5,曇,雨一時曇
1997,5,14,18.3,19.3,17.3,雨,雨後曇
1997,5,15,20.3,23.0,17.4,曇一時雨,曇一時雨、霧を伴う
1997,5,16,23.7,27.9,20.2,曇時々晴、霧を伴う,曇一時雨
1997,5,17,22.1,25.6,16.9,曇一時雨,曇一時雨
1997,5,18,19.8,24.6,15.7,晴,曇
1997,5,19,19.1,22.6,16.5,曇後雨,曇時々雨
1997,5,20,16.1,17.6,14.9,曇時々雨,曇時々雨
1997,5,21,17.6,22.4,14.4,晴後一時曇,曇後雨
1997,5,22,15.5,19.1,12.0,晴後曇一時雨,曇一時雨
1997,5,23,15.9,18.4,13.7,曇一時雨,曇
1997,5,24,16.4,18.1,14.6,曇後大雨,大雨後曇
1997,5,25,19.4,24.4,14.8,晴,晴後曇一時雨
1997,5,26,18.9,23.1,15.1,晴後一時曇,曇一時雨
1997,5,27,17.0,21.9,14.1,曇時々晴後一時雨,晴一時雨、雷を伴う
1997,5,28,19.3,24.7,13.9,晴,晴
1997,5,29,20.7,25.0,16.5,晴後一時曇,晴
1997,5,30,21.8,26.5,18.6,晴一時雨,曇一時晴
1997,5,31,21.1,24.7,18.8,曇時々晴,曇
1997,6,1,22.1,26.7,18.6,晴,晴後曇
1997,6,2,22.5,24.9,20.8,曇,曇一時晴
1997,6,3,24.1,28.2,21.5,晴後一時曇,曇
1997,6,4,21.5,25.0,17.6,曇時々雨,曇一時雨後晴
1997,6,5,22.4,27.7,17.2,晴一時曇,晴後一時曇
1997,6,6,19.4,22.7,16.2,曇時々雨、雷を伴う,晴
1997,6,7,20.6,25.5,15.7,晴,晴後一時曇
1997,6,8,18.7,21.1,14.9,曇,雨一時曇
1997,6,9,15.7,17.8,13.4,雨一時曇,雨後一時曇
1997,6,10,22.6,28.1,17.0,晴一時曇,晴後雨
1997,6,11,18.7,22.3,17.2,雨時々曇,曇一時雨
1997,6,12,21.4,26.2,17.9,晴時々曇,曇後一時晴
1997,6,13,22.1,27.1,18.4,晴後一時曇,曇後晴
1997,6,14,22.9,27.8,18.7,晴,晴後一時曇
1997,6,15,23.2,27.1,20.3,曇,雨時々曇
1997,6,16,22.2,26.4,18.6,曇一時雨,曇一時雨
1997,6,17,21.7,25.6,18.7,曇時々晴,曇
1997,6,18,20.5,23.0,19.2,雨時々曇,雨一時曇
1997,6,19,23.0,26.4,20.0,曇一時雨,雨一時曇
1997,6,20,23.7,25.4,21.3,大雨一時曇,晴
1997,6,21,26.1,31.3,21.0,晴後曇,雨時々曇
1997,6,22,21.7,23.9,19.4,曇一時雨,曇時々雨
1997,6,23,22.1,24.3,20.7,雨後曇,晴
1997,6,24,24.3,30.2,19.6,晴,晴
